Example of User Defined Spectrum,
,
T (s),Sa (g)
0,0.2025
0.02,0.252
0.04,0.3015
0.06,0.351
0.08,0.4005
0.1,0.45
0.12,0.45
0.14,0.45
0.16,0.45
0.18,0.45
0.2,0.45
0.22,0.45
0.24,0.45
0.26,0.45
0.28,0.45
0.3,0.45
0.32,0.45
0.34,0.45
0.36,0.45
0.38,0.45
0.4,0.45
0.42,0.430667545
0.44,0.413008602
0.46,0.39681169
0.48,0.381899766
0.5,0.368123466
0.52,0.355355872
0.54,0.343488437
0.56,0.332427759
0.58,0.322093019
0.6,0.312413923
0.62,0.303329036
0.64,0.294784422
0.66,0.286732528
0.68,0.279131265
0.7,0.271943242
0.72,0.26513512
0.74,0.258677085
0.76,0.252542382
0.78,0.246706938
0.8,0.241149029
0.82,0.235849
0.84,0.230789023
0.86,0.22595289
0.88,0.22132583
0.9,0.216894354
0.92,0.212646119
0.94,0.208569806
0.96,0.204655017
0.98,0.200892183
1,0.197272481
1.02,0.193787764
1.04,0.190430497
1.06,0.187193699
1.08,0.184070896
1.1,0.18105607
1.12,0.178143625
1.14,0.175328348
1.16,0.172605375
1.18,0.169970166
1.2,0.167418476
1.22,0.16494633
1.24,0.162550006
1.26,0.160226009
1.28,0.15797106
1.3,0.155782077
1.32,0.153656157
1.34,0.151590571
1.36,0.149582741
1.38,0.147630241
1.4,0.145730775
1.42,0.143882176
1.44,0.142082393
1.46,0.140329486
1.48,0.138621618
1.5,0.136957044
1.52,0.135334112
1.54,0.133751252
1.56,0.132206975
1.58,0.130699862
1.6,0.129228565
1.62,0.127791802
1.64,0.12638835
1.66,0.125017044
1.68,0.123676775
1.7,0.122366483
1.72,0.121085155
1.74,0.119831827
1.76,0.118605575
1.78,0.117405517
1.8,0.116230807
1.82,0.115080637
1.84,0.113954234
1.86,0.112850856
1.88,0.111769792
1.9,0.110710361
1.92,0.109671908
1.94,0.108653807
1.96,0.107655455
1.98,0.106676273
2,0.105715705
2.02,0.104773216
2.04,0.103848291
2.06,0.102940437
2.08,0.102049177
2.1,0.101174051
2.12,0.10031462
2.14,0.099470456
2.16,0.098641151
2.18,0.097826308
2.2,0.097025546
2.22,0.096238496
2.24,0.095464805
2.26,0.094704128
2.28,0.093956135
2.3,0.093220505
2.32,0.09249693
2.34,0.09178511
2.36,0.091084757
2.38,0.09039559
2.4,0.08971734
2.42,0.089049744
2.44,0.08839255
2.46,0.087745511
2.48,0.087108391
2.5,0.086480959
2.52,0.085862992
2.54,0.085254274
2.56,0.084654595
2.58,0.084063752
2.6,0.083481548
2.62,0.082907791
2.64,0.082342296
2.66,0.081784882
2.68,0.081235375
2.7,0.080693605
2.72,0.080159406
2.74,0.079632619
2.76,0.079113087
2.78,0.078600659
2.8,0.078095189
2.82,0.077596531
2.84,0.077104549
2.86,0.076619105
2.88,0.076140069
2.9,0.075667312
2.92,0.07520071
2.94,0.07474014
2.96,0.074285485
2.98,0.07383663
3,0.073393462
3.02,0.072955873
3.04,0.072523755
3.06,0.072097005
3.08,0.071675521
3.1,0.071259206
3.12,0.070847964
3.14,0.070441699
3.16,0.070040322
3.18,0.069643742
3.2,0.069251873
3.22,0.06886463
3.24,0.068481931
3.26,0.068103694
3.28,0.06772984
3.3,0.067360292
3.32,0.066994975
3.34,0.066633816
3.36,0.066276743
3.38,0.065923685
3.4,0.065574574
3.42,0.065229344
3.44,0.064887928
3.46,0.064550263
3.48,0.064216286
3.5,0.063885937
3.52,0.063559154
3.54,0.063235881
3.56,0.062916059
3.58,0.062599632
3.6,0.062286547
3.62,0.061976749
3.64,0.061670186
3.66,0.061366807
3.68,0.061066562
3.7,0.060769401
3.72,0.060475276
3.74,0.060184141
3.76,0.059895948
3.78,0.059610654
3.8,0.059328213
3.82,0.059048583
3.84,0.05877172
3.86,0.058497584
3.88,0.058226134
3.9,0.057957329
3.92,0.05769113
3.94,0.057427499
3.96,0.057166399
3.98,0.056907793
4,0.056651644
4.02,0.056397916
4.04,0.056146576
4.06,0.055897589
4.08,0.055650921
4.1,0.055406541
4.12,0.055164414
4.14,0.054924511
4.16,0.0546868
4.18,0.05445125
4.2,0.054217832
4.22,0.053986516
4.24,0.053757274
4.26,0.053530077
4.28,0.053304898
4.3,0.053081709
4.32,0.052860484
4.34,0.052641196
4.36,0.05242382
4.38,0.052208331
4.4,0.051994702
4.42,0.051782911
4.44,0.051572933
4.46,0.051364745
4.48,0.051158322
4.5,0.050953643
4.52,0.050750686
4.54,0.050549427
4.56,0.050349846
4.58,0.050151921
4.6,0.049955632
4.62,0.049760957
4.64,0.049567878
4.66,0.049376373
4.68,0.049186423
4.7,0.048998009
4.72,0.048811113
4.74,0.048625715
4.76,0.048441797
4.78,0.048259342
4.8,0.048078332
4.82,0.047898749
4.84,0.047720576
4.86,0.047543797
4.88,0.047368395
4.9,0.047194353
4.92,0.047021655
4.94,0.046850287
4.96,0.046680231
4.98,0.046511473
5,0.046343999
5.02,0.046177792
5.04,0.046012838
5.06,0.045849124
5.08,0.045686634
5.1,0.045525356
5.12,0.045365274
5.14,0.045206377
5.16,0.045048649
5.18,0.044892079
5.2,0.044736654
5.22,0.04458236
5.24,0.044429185
5.26,0.044277117
5.28,0.044126144
5.3,0.043976253
5.32,0.043827433
5.34,0.043679673
5.36,0.04353296
5.38,0.043387283
5.4,0.043242632
5.42,0.043098995
5.44,0.042956362
5.46,0.042814722
5.48,0.042674064
5.5,0.042534378
5.52,0.042395654
5.54,0.042257881
5.56,0.04212105
5.58,0.041985152
5.6,0.041850175
5.62,0.041716112
5.64,0.041582952
5.66,0.041450686
5.68,0.041319305
5.7,0.0411888
5.72,0.041059162
5.74,0.040930382
5.76,0.040802453
5.78,0.040675364
5.8,0.040549109
5.82,0.040423677
5.84,0.040299063
5.86,0.040175256
5.88,0.040052249
5.9,0.039930035
5.92,0.039808606
5.94,0.039687954
5.96,0.03956807
5.98,0.039448949
6,0.039330583
